Rollno	Branch	Quiz1	Quiz2	Midsem	Lab	Endsem
r93913541	ZZ	57	32	72	76	41
r81510048	XX	24	43	84	75	29
r31356562	VV	72	22	43	82	6
r07299929	ZZ	59	9	50	83	4
r93347813	YY	85	29	15	58	51
r28625834	WW	77	26	96	88	35
r11224591	XX	35	30	27	21	12
r13331979	ZZ	89	51	43	18	29
r66797923	ZZ	46	83	97	82	65
r57881114	ZZ	2	90	93	43	93
r12070877	VV	39	61	33	86	44
r01479252	VV	96	78	46	50	20
r44178159	WW	31	24	28	71	37
r91312783	XX	22	25	65	18	3
r05449720	ZZ	98	49	9	30	25
r12325639	VV	96	51	23	18	76
r81406078	ZZ	97	1	78	96	50
r87019336	VV	82	36	25	30	87
r85188786	ZZ	58	75	56	55	28
r38517628	XX	41	5	34	23	41
r30437737	XX	55	94	6	13	21
r00940458	YY	80	18	36	22	75
r77539989	XX	57	2	46	12	96
r79579410	WW	90	79	38	71	97
r54923473	VV	36	6	92	93	8
r76345017	XX	26	5	97	16	84
r93547791	YY	51	76	46	39	34
r44812370	WW	33	59	77	11	16
r80595042	WW	97	35	45	1	63
r20174287	ZZ	85	46	27	71	57
r45247742	XX	29	90	56	79	25
r00520915	YY	41	20	34	78	18
r95962109	ZZ	98	84	91	79	74
r81104934	XX	78	64	21	71	36
r94011973	VV	40	37	14	90	22
r08502816	WW	9	86	82	39	2
r09305439	ZZ	73	50	64	66	87
r81682314	ZZ	4	82	62	13	68
r50051677	XX	0	90	38	25	92
r32323027	VV	15	93	73	19	27
r55206479	WW	0	37	86	52	27
r00932477	VV	34	12	57	2	57
r15880208	WW	86	58	78	87	95
r14316470	XX	88	76	0	75	88
r76901993	VV	11	9	62	98	19
r76883129	XX	77	49	90	66	25
r16182085	VV	52	29	58	63	91
r30207310	YY	26	33	61	4	34
r01537631	XX	39	53	88	91	83
r44986405	ZZ	57	1	87	83	86
r72296045	XX	46	9	7	37	63
r88454430	YY	98	25	26	7	79
r07400716	VV	69	16	91	15	77
r30838484	YY	10	23	75	8	49
r78687307	ZZ	0	31	65	21	99
r67919970	ZZ	54	95	74	64	19
r50220127	XX	54	42	37	6	26
r97154394	VV	84	36	84	90	83
r54024466	WW	87	31	24	93	73
r11509783	VV	2	59	59	86	47
r70645881	XX	32	44	38	72	75
r51592091	YY	69	49	17	23	8
r05496233	ZZ	0	43	86	84	87
r65848330	YY	56	94	54	77	44
r12130728	XX	9	77	21	9	20
r49424262	WW	88	71	15	96	66
r52464596	XX	75	43	24	84	20
r62722148	YY	15	23	73	55	94
r12174551	ZZ	52	97	19	27	40
r43105829	WW	91	96	88	7	71
r26160257	ZZ	67	50	50	71	99
r92535732	XX	57	27	72	49	23
r65303465	ZZ	36	31	4	55	34
r63675122	WW	48	17	97	6	44
r70337630	XX	32	22	27	68	5
r59815410	XX	8	23	85	56	41
r45315664	ZZ	94	22	56	26	44
r69811646	VV	73	5	68	81	29
r92769297	YY	30	66	41	24	40
r24285018	VV	8	96	44	81	53
r42046006	ZZ	4	89	33	35	7
r97241629	ZZ	8	36	47	17	32
r07152398	XX	45	81	44	50	70
r58467601	ZZ	35	25	30	43	61
r25532806	ZZ	22	49	35	67	82
r94942332	YY	41	13	73	76	90
r03420273	WW	0	27	89	22	28
r20615789	ZZ	30	21	61	71	86
r87900421	XX	36	0	16	36	27
r16658283	WW	11	86	83	41	7
r46123025	WW	46	37	88	34	37
r36644213	WW	94	59	76	5	46
r85821176	XX	11	11	34	10	48
r47174730	XX	49	44	73	95	4
r22507341	YY	16	91	37	80	55
r03843949	VV	26	59	29	75	4
r20742469	XX	0	40	32	16	84
r69564339	YY	72	79	38	50	38
r72594436	VV	58	49	38	58	42
r58439003	YY	85	35	55	10	14
r04389873	VV	72	63	70	83	64
r16286725	WW	69	54	21	54	89
r65979578	ZZ	23	56	12	48	19
r16624831	ZZ	7	85	36	76	39
r38595784	XX	42	95	53	17	4
r55381936	VV	77	66	37	85	3
r32562287	WW	31	28	51	73	24
r30505897	XX	77	34	73	55	0
r23777449	WW	47	54	28	78	82
r48098596	YY	94	20	13	71	54
r86201988	ZZ	66	34	29	65	40
r32193103	XX	46	10	69	40	82
r49225459	ZZ	16	45	67	82	31
r71825148	WW	32	44	2	31	6
r31670007	WW	55	95	86	23	92
r53744561	ZZ	69	40	70	1	37
r43584356	XX	84	77	44	91	24
r46019755	ZZ	65	21	77	34	14
r71326021	YY	24	27	49	60	5
r11678889	ZZ	16	63	75	81	36
r70343682	ZZ	96	10	35	72	38
r45858646	YY	74	92	16	42	7
r54926270	XX	80	27	52	28	38
r18353133	YY	59	29	30	86	22
r89345282	YY	46	95	24	26	23
r43771056	WW	92	70	19	3	99
r91903468	WW	36	24	52	82	72
r07450141	YY	62	19	69	6	89
r91012137	VV	86	99	98	22	75
r77776146	YY	3	11	59	17	30
r32943977	VV	0	60	97	38	11
r37506293	WW	56	76	91	11	87
r89111076	YY	11	75	86	64	87
r29858376	YY	48	77	9	4	53
r50659783	XX	40	85	61	3	60
r70009877	VV	84	75	13	32	52
r87059600	XX	75	48	65	67	85
r18488509	YY	65	98	38	49	73
r37816885	YY	46	30	97	22	30
r96024414	WW	21	63	13	87	61
r86425551	WW	95	76	88	42	6
r67973909	YY	55	73	35	29	36
r80168506	YY	42	78	9	38	54
r20407572	YY	76	79	73	83	52
r21601991	XX	17	19	87	59	97
r93534133	ZZ	68	43	16	96	74
r99040843	ZZ	18	65	94	35	85
r64168814	VV	61	67	67	81	62
r76765705	VV	37	77	98	55	42
r29996276	ZZ	40	18	10	53	85
r47716491	XX	73	72	39	10	49
r83405391	ZZ	75	38	97	67	57
r04844570	XX	51	37	33	76	9
r90275690	XX	62	71	73	89	9
r96193067	XX	27	5	89	31	42
r73765951	XX	57	25	3	71	48
r17126319	ZZ	55	39	48	82	97
r51335012	ZZ	71	79	35	29	56
r04831957	YY	4	39	78	59	30
r47799146	ZZ	93	56	78	65	87
r43569322	VV	44	47	50	49	38
r09948647	ZZ	9	98	33	3	6
r83848307	XX	8	72	0	4	72
r50461300	YY	72	86	47	81	85
r43727787	ZZ	62	79	17	22	3
r67140501	YY	51	70	53	23	57
r44817756	WW	14	64	4	28	95
r00288320	XX	70	14	93	73	85
r64038867	VV	25	91	4	91	55
r92313513	WW	40	66	3	62	32
r69343593	XX	85	35	33	62	27
r34947270	WW	9	51	73	49	69
r11491844	YY	15	25	90	1	61
r38292151	WW	95	43	1	4	46
r55286907	WW	47	4	74	14	81
r52912307	VV	16	45	68	11	40
r76841320	YY	82	12	9	29	68
r30114227	XX	45	94	84	61	39
r42418352	WW	26	60	42	8	24
r95745871	ZZ	81	89	18	78	35
r07749389	YY	56	23	1	34	35
r40735402	ZZ	72	67	43	5	9
r44861702	YY	61	48	12	69	24
r69901666	WW	90	6	80	14	25
r04061824	ZZ	38	24	37	99	73
r09268170	ZZ	79	65	8	69	23
r48565746	XX	17	96	20	55	20
r45854315	VV	96	30	35	76	95
r58619394	XX	60	53	72	78	1
r32209274	WW	85	70	69	82	1
r08159098	WW	93	78	44	54	84
r25079479	WW	27	76	45	64	47
r88288567	YY	65	5	57	59	35
r51997268	ZZ	48	76	99	27	52
r29029410	XX	62	19	19	79	76
r01053242	VV	86	23	60	34	99
r23663984	ZZ	55	51	54	69	70
r96310375	ZZ	37	3	37	75	26
r07141006	VV	89	78	90	44	30
r42159461	VV	59	5	6	97	9
r27647888	WW	28	88	86	69	19
r51313464	WW	70	5	65	30	10
r91839586	XX	73	96	26	53	37
r46099612	ZZ	62	69	19	33	74
r35846677	WW	41	35	95	66	84
r11559878	WW	44	8	52	58	77
r12669605	VV	42	98	13	36	85
r49282931	XX	97	60	9	93	20
r48572141	YY	57	6	88	52	56
r04443626	ZZ	67	48	29	17	60
r03341825	ZZ	32	68	76	41	26
r55859224	XX	80	56	2	99	4
r67370833	WW	18	7	70	2	27
r46291272	WW	16	59	18	48	15
r82541033	YY	60	89	28	78	96
r16672883	XX	43	45	97	11	56
r04008549	XX	77	20	32	37	9
r67093685	ZZ	64	96	90	59	94
r12736734	ZZ	45	67	15	22	39
r00188193	WW	27	7	59	44	55
r51166092	WW	47	52	9	92	72
r73694972	WW	13	88	65	92	47
r64046302	XX	23	32	46	70	36
r50424238	ZZ	3	20	62	16	60
r99873811	ZZ	61	64	85	84	96
r64135771	YY	39	20	9	95	92
r14203007	WW	0	11	98	61	75
r73060195	XX	91	89	26	82	9
r74298412	ZZ	27	31	51	27	43
r10786746	WW	21	76	63	12	65
r46022231	WW	58	74	65	37	6
r51781589	VV	12	43	75	33	71
r78324369	VV	57	29	90	16	3
r39100804	WW	95	29	3	8	72
r35333759	VV	72	3	48	30	32
r87537869	ZZ	9	6	45	4	35
r49204539	WW	14	40	91	87	43
r97294921	YY	48	48	23	9	7
r32904100	YY	59	45	50	25	85
r20437621	VV	98	27	85	98	27
r74829023	VV	3	94	43	62	39
r84824383	XX	41	42	85	39	21
r79245296	VV	12	71	99	16	66
